timestamp,cluster_name,pod_name,namespace,node_type,requested_cpu,used_cpu,requested_memory,used_memory,hourly_cpu_cost,hourly_memory_cost,total_cost
2024-12-01T00:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1850,4096,3821,0.0672,0.0090,0.0762
2024-12-01T00:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,920,2048,1956,0.0336,0.0045,0.0381
2024-12-01T00:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3750,16384,15230,0.1344,0.0360,0.1704
2024-12-01T00:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,380,1024,892,0.0168,0.0023,0.0191
2024-12-01T00:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1420,3072,2845,0.0504,0.0068,0.0572
2024-12-01T00:00:00Z,us-east-prod-01,logging-agent-3d5e7g-np2xl,monitoring,n1-standard-2,250,215,512,478,0.0084,0.0011,0.0095
2024-12-01T00:00:00Z,us-east-prod-01,prometheus-server-9h2k5m-qw8cd,monitoring,n1-standard-4,2000,1680,8192,7456,0.0672,0.0180,0.0852
2024-12-01T00:00:00Z,us-east-prod-01,grafana-dashboard-2f8j6n-lv4hs,monitoring,n1-standard-2,500,445,1024,967,0.0168,0.0023,0.0191
2024-12-01T00:00:00Z,us-west-staging-01,test-runner-5k9m2p-xz7wq,staging,n1-standard-2,1000,780,2048,1823,0.0336,0.0045,0.0381
2024-12-01T00:00:00Z,us-west-staging-01,preview-app-7n3q8r-bf5ct,staging,n1-standard-2,750,520,1536,1342,0.0252,0.0034,0.0286
2024-12-01T00:00:00Z,eu-central-prod-01,web-frontend-9k2m5p-zx8wq,production,n1-standard-4,2000,1890,4096,3867,0.0672,0.0090,0.0762
2024-12-01T00:00:00Z,eu-central-prod-01,api-service-2h7n4r-lc9vt,production,n1-standard-4,1000,945,2048,1978,0.0336,0.0045,0.0381
2024-12-01T00:00:00Z,eu-central-prod-01,database-replica-5m8p3q-wd6ks,production,n1-highmem-8,4000,3680,16384,15089,0.1344,0.0360,0.1704
2024-12-01T01:00:00Z,us-east-prod-01,web-frontend-7d9f8b-xk2ml,production,n1-standard-4,2000,1920,4096,3945,0.0672,0.0090,0.0762
2024-12-01T01:00:00Z,us-east-prod-01,api-service-5c8d9f-pm4zx,production,n1-standard-4,1000,890,2048,1887,0.0336,0.0045,0.0381
2024-12-01T01:00:00Z,us-east-prod-01,database-primary-6f7a2c-ql8vn,production,n1-highmem-8,4000,3820,16384,15678,0.1344,0.0360,0.1704
2024-12-01T01:00:00Z,us-east-prod-01,cache-redis-4b6e9d-wr5kp,production,n1-standard-2,500,410,1024,945,0.0168,0.0023,0.0191
2024-12-01T01:00:00Z,us-east-prod-01,worker-queue-8a4c3f-ts9bm,production,n1-standard-4,1500,1380,3072,2756,0.0504,0.0068,0.0572
2024-12-01T01:00:00Z,us-east-prod-01,logging-agent-3d5e7g-np2xl,monitoring,n1-standard-2,250,223,512,489,0.0084,0.0011,0.0095
2024-12-01T01:00:00Z,us-east-prod-01,prometheus-server-9h2k5m-qw8cd,monitoring,n1-standard-4,2000,1720,8192,7612,0.0672,0.0180,0.0852
2024-12-01T01:00:00Z,us-east-prod-01,grafana-dashboard-2f8j6n-lv4hs,monitoring,n1-standard-2,500,467,1024,989,0.0168,0.0023,0.0191
